# Accelerometer Data File
# Started @Fri Sep 02 07:10:52 GMT-03:00 2016
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.311 -1.255 9.82 5
-0.407 -1.245 9.868 5
-0.474 -0.876 9.887 5
-0.684 0.219 9.973 5
-0.641 1.201 9.71 5
-0.521 1.981 9.796 5
-0.512 2.451 9.882 5
-0.43 2.082 9.81 5
-0.277 1.148 9.853 5
-0.177 -0.038 9.839 5
-0.134 -1.135 9.782 5
-0.067 -1.906 9.801 5
0.062 -2.059 9.806 5
-0.143 -1.959 9.71 5
-0.119 -1.36 9.748 5
-0.282 -0.618 9.743 5
-0.383 0.032 9.719 4
-0.502 0.588 9.715 5
-0.545 0.66 9.892 5
-0.703 0.463 9.849 6
-0.526 0.502 9.988 4
-0.612 0.439 9.959 5
-0.397 0.272 9.724 5
-0.134 0.329 9.82 5
-0.071 0.267 9.705 5
0.081 -0.091 9.715 5
0.043 -0.441 9.71 5
0.033 -1.097 9.695 5
-0.081 -1.485 9.528 5
-0.383 -1.561 9.806 5
-0.545 -1.317 9.844 5
-0.588 -0.623 9.786 5
-0.636 0.353 9.973 5
-0.622 1.33 9.853 4
-0.517 2.154 9.829 5
-0.469 2.441 9.825 6
-0.344 2.058 9.844 4
-0.201 1.206 9.887 5
-0.148 0.186 9.916 5
-0.014 -0.809 9.849 5
-0.023 -1.312 9.853 5
-0.004 -1.398 9.777 5
-0.105 -0.967 9.719 5
-0.234 -0.412 9.595 5
-0.373 0.315 9.801 5
-0.435 0.827 9.906 5
-0.641 1.076 9.652 5
-0.608 0.985 9.829 5
-0.708 0.866 9.796 5
-0.675 0.688 9.954 4
-0.579 0.612 10.031 5
-0.378 0.583 9.829 6
-0.071 0.411 9.801 4
-0.09 0.2 9.758 5
0.009 -0.125 9.81 5
0.067 -0.685 9.657 5
-0.114 -1.212 9.739 5
-0.124 -1.666 9.82 5
-0.354 -1.657 9.988 5
-0.478 -1.461 9.925 5
-0.622 -0.738 9.724 5
-0.565 0.166 9.82 5
-0.617 1.143 9.806 5
-0.579 1.67 9.753 5
-0.497 1.761 9.777 5
-0.459 1.22 9.609 5
-0.296 0.21 9.777 4
-0.22 -0.79 9.552 6
-0.062 -1.518 9.801 4
-0.071 -1.824 9.897 5
-0.071 -1.753 9.882 5
-0.11 -1.164 9.801 5
-0.21 -0.642 9.667 5
-0.258 0.133 9.925 5
-0.536 0.66 9.954 5
-0.608 0.842 9.686 5
-0.603 0.923 9.719 5
-0.708 0.775 9.868 5
-0.598 0.789 9.978 5
-0.584 0.89 9.868 5
-0.344 0.87 9.715 5
-0.186 0.846 9.719 4
-0.057 0.583 9.705 5
-0.067 0.234 9.71 6
0.019 -0.201 9.877 5
0.004 -0.776 9.695 4
-0.181 -1.202 9.873 5
-0.387 -1.125 9.897 6
-0.45 -0.805 9.911 4
-0.579 0.099 9.681 5
-0.646 0.981 9.729 5
-0.603 1.756 9.753 5
-0.632 2.149 9.868 5
-0.43 1.991 9.916 5
-0.378 1.258 9.753 5
-0.287 0.147 9.638 5
-0.196 -0.68 9.863 5
-0.148 -1.432 9.777 5
-0.067 -1.666 9.777 5
-0.047 -1.432 9.58 5
-0.186 -1.082 9.657 4
-0.287 -0.517 9.724 6
-0.296 -0.01 9.873 5
-0.454 0.186 9.643 5
-0.636 0.415 9.839 4
-0.584 0.353 9.849 5
-0.617 0.272 10.078 5
-0.665 0.291 9.978 5
-0.488 0.248 9.806 5
-0.33 0.353 9.652 5
-0.263 0.162 9.796 5
-0.105 -0.11 9.715 5
-0.071 -0.512 9.71 5
-0.119 -1.03 9.585 5
-0.124 -1.36 9.667 5
-0.124 -1.566 9.801 5
-0.296 -1.216 9.758 5
-0.402 -0.733 9.719 5
-0.497 0.238 9.825 5
-0.598 1.062 9.853 5
-0.593 1.847 9.892 4
-0.541 2.144 9.786 6
-0.488 1.842 9.935 4
-0.421 1.014 9.705 6
-0.239 0.143 9.748 4
-0.134 -0.575 9.715 5
-0.191 -1.125 9.729 5
-0.052 -1.101 9.758 5
-0.148 -0.785 9.681 5
-0.196 -0.273 9.739 5
-0.22 0.166 9.652 5
-0.32 0.636 9.671 5
